#name	permalink	crunchbase_url	homepage_url	blog_url	blog_feed_url	twitter_username	category_code	number_of_employees	founded_year	founded_month	founded_day	deadpooled_year	deadpooled_month	deadpooled_day	deadpooled_url	tag_list	alias_list	email_address	phone_number	description	updated_at	overview	total_money_raised
CBS	cbs	http://www.crunchbase.com/company/cbs					news	0	1986	0	0	0	0	0	null	null	null				null	<p>CBS Corporation is a mass media company with constituent parts that reach back to the beginnings of the broadcast industry, as well as newer businesses that operate on the leading edge of the media industry. </p><p>CBS, through its many and varied operations, combines broad reach with well-positioned local businesses, all of which provide it with an extensive distribution network by which it serves audiences and advertisers in all 50 states and key international markets. It has operations in several fields of media and entertainment, including broadcast television, cable television, local television, television production and syndication, radio, advertising on out-of-home media, publishing, digital media, and consumer products.</p>	$0
Cisco	cisco	http://www.crunchbase.com/company/cisco	http://www.cisco.com	http://blogs.cisco.com		CiscoSystems	network_hosting	63000	1984	0	0	0	0	0		null	null		(408) 526-4000		null	<p>Cisco designs and sells hardware, software, networking, and communications technology services.  Products are distributed under five brands, namely Cisco, Linksys, WebEx, IronPort, and Scientific Atlanta.</p><p>Cisco was founded in 1984 by a small group of computer scientists from Stanford University. Since the company&#8217;s inception, Cisco engineers have been leaders in the development of Internet Protocol (IP)-based networking technologies.</p><p>Cisco name is based on its origins starting up in San Francisco. </p>	$2.5M
CriticalMetrics	criticalmetrics	http://www.crunchbase.com/company/criticalmetrics	http://criticalmetrics.com		null	null	web	4	2007	1	1	0	0	0	null	null	null	info@criticalmetrics.com	null	null	null	<p>A startup by Suck.com alum, Joey Anuff, Critical Metrics aims to track recommendations and playlists across all media  so you can easily find, try, and buy the best new music.</p>	$100k
CastTV	casttv	http://www.crunchbase.com/company/casttv	http://www.casttv.com			casttv	games_video	0	2006	0	0	0	0	0	null	null	null	info@casttv.com			null	<p>CastTV is working to build the web&#8217;s best video search engine. CastTV lets users find all their favorite online videos, from TV shows to movies to the latest celebrity, sports, news, and viral videos. The company&#8217;s proprietary technology addresses two main video search challenges: finding and cataloging videos from the web and delivering relevant video results to users. CastTV is funded by Draper Fisher Jurvetson and prominent angel investors. </p><p>CastTV competitors include <a href="http://crunchbase.com/company/Blinkx" title="Blinkx">Blinkx</a>, Google Video, Yahoo Video and AOL Video (run on Truveo).</p>	$3.1M
ClipBlast!	clipblast	http://www.crunchbase.com/company/clipblast	http://clipblast.com			ClipBlast	web	15	2005	1	1	0	0	0	null	null	null	info@clipblast.com	818-707-1706		null	<p>ClipBlast is the worlds fasting growing video web search and distribution technology. ClipBlast has been indexing the video web since 2005.</p><p>The company was founded in 2005 by Gary Baker, former IBM Interactive Media Executive. </p>	$0
Coghead	coghead	http://www.crunchbase.com/company/coghead	http://coghead.com	http://blog.coghead.com/	http://blog.coghead.com/cogblog/index.rdf	null	web	21	2003	5	1	2009	2	0	http://www.techcrunch.com/2009/02/18/coghead-grinds-to-a-halt-heads-to-the-deadpool/	null	null	null	null	null	null	<p>Coghead is a WYSIWYG database driven application service aimed at enabling non-developers to solve problems traditionally requiring programming knowledge.</p>	$11.2M
coRank	corank	http://www.crunchbase.com/company/corank	http://www.corank.com	http://corank.zoomblog.com/	null	null	web	0	2007	3	1	0	0	0	null	null	null	rba@corank.com	null	null	null	<p>When CoRank launched in March of 2007, it was a stand alone Digg clone. It has since evolved into a fully customizable hosted social voting platform. Users can setup their own social news sites through easy to use menu options, without the need to edit code.</p><p><a href="http://www.techcrunch.com/tag/pligg/" title="Pligg">Pligg</a> offers an open source solution that is similar.</p>	$0
ConVerdge	converdge	http://www.crunchbase.com/company/converdge	http://converdge.com			converdgetest	enterprise	25	2006	1	1	0	0	0	null	null	null	Shawn@converdge.com	310-500-8890		null	<p>ConVerdge provides a white label social networking service to both large organizations and small businesses. ConVerdge social-networking features include profiles, friends, blogging, media players, messaging, comments and ratings, and photo galleries. </p><p>Customers include Mashable, Verdge.com and Uspot.com. Competitors include <a href="http://www.crunchbase.com/company/pringonetworks" title="Pringo Networks">Pringo Networks</a>, <a href="http://www.crunchbase.com/company/crowdfactory" title="Crowd Factory">Crowd Factory</a>, <a href="http://www.crunchbase.com/company/theport" title="ThePort">ThePort</a> and <a href="http://www.crunchbase.com/company/dzoic" title="DZOIC">DZOIC</a>.</p>	$0
CrowdVine	crowdvine	http://www.crunchbase.com/company/crowdvine	http://www.crowdvine.com	http://blog.crowdvine.com	http://blog.crowdvine.com/feed/		web	10	2007	8	6	0	0	0	null	null	null			Conference Social Networks	null	<p>CrowdVine provides social networks for conferences and other professional communities.</p><p>Conference attendees are looking for a tool to help them make contacts at the event. CrowdVine for Conferences is a hosted social network package that&#8217;s tailored specifically for conferences. Rather than being yet another place to manage your friends, it helps you organize a want-to-meet list, see which sessions your friends are going to, and when the conference is over, export your new contacts to your permanent social network (LinkedIn, Facebook, email).</p>	$0
CornerWorld	cornerworld	http://www.crunchbase.com/company/cornerworld	http://www.cornerworld.com				public_relations	0	2002	9	30	0	0	0	null	null	null			Marketing and Technology Services	null	<p>CornerWorld Corporation [OTCBB: CWRL] is a marketing and technology services company creating opportunities from the increased accessibility of content across mobile, television and internet platforms. The key asset is the patented 611 Roaming Serviceâ„¢ from RANGER Wireless SolutionsÂ®, which generates revenue by processing over 14 million calls from roaming wireless customers per year and seamlessly transferring them to their service providers.</p><p>Mission Statement- Building on its current assets, CornerWorld is developing an ecosystem of direct marketing, telecommunication and technology companies that is uniquely positioned to capitalize on industry evolutions as an advertiser, content creator and service provider.</p><p>CornerWorldâ€™s holdings include:</p><p>Dial611, a site for 611 Roaming Serviceâ„¢, the customer service short code for over 30 mobile carriers.</p><p>Encontent Networkâ„¢, magazine-style destination web sites designed to drive prospects to request information.</p><p>Enversa, a leading marketing communications provider offering a full menu of services for brand and direct response customer acquisition campaigns including media buying and planning for online and mobile media.</p><p>RANGER Wireless SolutionsÂ® is a wireless shortcodes and application development company supporting over 30 carriers in North America. RANGERÂ®â€™s core service is 611 Roaming Serviceâ„¢, which provides a seamless means for wireless subscribers to reach their home providerâ€™s customer service call center.</p><p>SocialUr.com (formerly CornerWorld.com) is a soon to be relaunched business management and social networking platform that empowers independent content creators to share and profit from their skills.</p><p>TÂ² Communications is a next-generation telecommunications and entertainment service provider that uses a portfolio of industry-leading technology to deliver phone, television and internet products for homes and businesses.</p>	$0
Cuts	cuts	http://www.crunchbase.com/company/cuts	http://www.cuts.com	http://www.cuts.com/blog/	http://feeds.feedburner.com/CutsBlog	null	web	6	0	0	0	0	0	0	null	null	null	cuts@rifftrax.com	null	null	null	<p>Cuts is a Flash-based, online video editor that allows you to trim, loop, insert captions and add sound effects to videos and then share your &#8220;takes&#8221; with the world. The site keeps things simple by getting all of theirs videos from video sites like YouTube, MySpace and Google Video. </p><p>Cuts has no uploading, downloading or installation required and all editing has zero affect on the underlying video. Once you&#8217;ve created your &#8220;take&#8221; you can share it with the world using the Cuts Directory, by embedding it in your blog or social-networking site or by emailing it to friends. </p>	$0
Carbonite	carbonite	http://www.crunchbase.com/company/carbonite	http://www.carbonite.com	http://carbonite.com/en/v2/blog		Carbonite	network_hosting	68	2006	5	0	0	0	0	null	null	null	info@carbonite.com	877-665-4466		null	<p>Carbonite was originally focused on photo storage, but in May of 2006 changed paths.  They now offer a very competitive internet based backup solution.  For $59/year Carbonite will backup all the data on your computer as long as it&#8217;s connected to the internet.  The service has no upload limits and Carbonite can surely handle all of your data with a datacenter that can hold 1.5 petabytes (1.5 Petabytes = 1,572,864 Gigabytes) of data.</p><p>In the last year nearly 100 million digital photos, documents, emails and other files that otherwise would have been lost forever, have been recovered using Carbonite.</p><p>Carbonite claims that &#8220;statistically, you have about a 1 in 12 chance of having your hard drive crash in any given year, about a 1 in 10 chance of having your laptop stolen, and about a 1 in 3 chance of serious data loss through your own errors.&#8221;  Regularly backing up your hard drive is one thing that way too many people don&#8217;t do and Carbonite provides an easy solution.</p><p>In addition to being able to signup through their website, they offer a boxed product available at Staples, CompUSA, Amazon and other stores.  Also, Carbonite signed an agreement with Microsoft to include a year of free online backup with Microsoft Money 2007 and is included as part of a software kit named OrganizeMY Electronic Filing Cabinet For Dummies.  Carbonite recently launched both remote access features and a Mac client in March 2009.</p><p>Carbonite competes with <a href="http://www.mozy.com" title="Mozy" rel="nofollow">Mozy</a>, <a href="http://www.allmydata.com" title="AllMyData" rel="nofollow">AllMyData</a>, <a href="https://www.crashplan.com" title="crashplan" rel="nofollow">crashplan</a> and others.</p>	$66M
Conduit	conduit	http://www.crunchbase.com/company/conduit	http://www.conduit.com	http://www.blog.conduit.com	http://www.conduit.com/CMSPages/BlogRss.aspx?aliaspath=/Home/Resources/community-center/community-center	conduit	advertising	215	2005	1	1	0	0	0	null	null	null	support@conduit.com	1-866-338-1306	Platform for branded apps	null	<p>Conduit empowers web and mobile publishers to engage their users across multiple platforms. From Community Toolbars and mobile apps to notifications and web bars, the company’s products enable publishers to constantly connect with their users wherever they are. Conduit’s innovative solutions have made it the fastest-growing network of publishers in the world, with more than 260,000 publishers of all sizes generating billions of monthly interactions with their 250 million users. Major League Baseball, Groupon, Fox News, Travelocity, and The Weather Channel are just some of the brands leveraging Conduit’s free solutions to keep their users engaged and boost their business.  </p>	$110M
coComment	cocomment	http://www.crunchbase.com/company/cocomment	http://www.cocomment.com	http://blog.cocomment.com	http://feeds.feedburner.com/cocomment	null	web	0	2006	2	1	2012	3	0		null	null	contact@cocomment.com	null	null	null	<p>coComment is a service that lets people keep track of all their separate comments and discussions which they are part of on the web.  Much like an e-mail inbox, coComment notifies users of new comment posts while also displaying any comments and conversations that a user may be tracking on sites such as blogs, news sites, and photosharing sites.  coComment&#8217;s website has a complete list of compatible platforms than can be tracked including, for instance, popular sites like <a href="http://www.crunchbase.com/company/digg" title="Digg">Digg</a> and <a href="http://www.crunchbase.com/company/flickr" title="Flickr">Flickr</a>.  For bloggers, coComment is useful because it lets them display comments made elsewhere back on their own blogs as well. coComment is free and the company&#8217;s browser extension can easily be downloaded from the website.</p><p>According to coComment&#8217;s own web-page (as of 17th February 2012) &#8230; &#8220;The service will be switched off at 31.3.2012 at midnight 12:00 am.&#8221; The main webserver can no longer be reached.</p>	$5.6M
Cofoundr	cofoundr	http://www.crunchbase.com/company/cofoundr	http://cofoundr.com		http://feeds.feedburner.com/Cofoundr		network_hosting	0	2007	3	1	0	0	0	null	null	null	info@cofoundr.com			null	<p>Cofoundr is a private social network for entrepreneurs, programmers, designers, investors, and other individuals deeply involved with starting new ventures.  It is a place for people in the industry to introduce themselves to potential investors, partners or veterans with good advice.  Cofoundr&#8217;s goal is to help entrepreneurs build up their companies with its readily available network which, at times, acts as a large support group.Cofoundr&#8217;s homepage has a <a href="http://crunchbase.com/company/facebook" title="Facebook">Facebook</a> like news feed of new startup ideas pitched by community members.  Founders of newly hatched companies ask for advice or for people to join on if interested.  Similar to <a href="http://crunchbase.com/company/y-combinator" title="Y Combinator">Y Combinator</a> and <a href="http://crunchbase.com/company/techstars" title="TechStars">TechStars</a>, Cofoundr potentially provides young companies with all the resources they could want minus direct financing and a physical community.Users can search for Cofoundr members by area of expertise, working status, geography or any other keyword.  Although the network is not as robust or large as <a href="http://crunchbase.com/company/linkedin" title="Linkedin">Linkedin</a> and other business related social networks such as <a href="http://crunchbase.com/company/visiblepath" title="Visible Path">Visible Path</a>, it is very discriminating which is often very helpful.  Users looking for specialists in Ruby on Rails for example, can find them very fast and easily.</p>	$0
Checkster	checkster	http://www.crunchbase.com/company/checkster	http://www.checkster.com	http://checkster.com/resources/blog		YvesatCheckster	web	0	2006	4	1	0	0	0	null	null	null	info@checkster.com	866-800-0709		null	<p>Checkster created a Personal Feedback Management engine. Individuals now have unprecedented access to tools that help them to grow and develop within their career. Employers can leverage Checkster to hire, retain, and grow the right talent.Checkster is revolutionizing traditional reference checks and 360 feedback methodologies.</p>	$0
Cyworld	cyworld	http://www.crunchbase.com/company/cyworld	http://us.cyworld.com			null	web	0	1999	7	1	0	0	0	null	null	null			Social Network	null	<p>South Korea&#8217;s most popular social networking site, Cyworld, has now brought a version of its site to the US.  Founded in 1999, Cyworld was bought in 2003 by SK Telecom, Korea&#8217;s primary provider of mobile telecommunications.  Since then Cyworld has experienced rapid growth, becoming a social networking phenomenon in South Korea.  In fact, Cyworld has claimed more than one third of Korea&#8217;s entire population as members, while achieving incredible penetration of Korea&#8217;s young adult market: 90% of Koreans in their 20s are members of Cyworld.</p><p>Cyworld - US version - lets users sign up and create their own profile (called a Minihome in Cyworld) and their own avatar (Minime) for free.  You can then personalize your avatar, design a Miniroom, meet new people, stay in touch with friends, send messages, upload photos, exchange gifts, and more.  Essentially, Cyworld allows users to create their own personalized cyber-lives through which they can live vicariously, express themselves, and connect with friends.</p><p>The company has recently expanded its social networking site to other countries including China, Taiwan, Japan, and now the US.  It is sure to face steep competition from US social networking giants <a href="http://crunchbase.com/company/myspace" title="MySpace">MySpace</a> and <a href="http://crunchbase.com/company/facebook" title="Facebook">Facebook</a>, and will face difficulty luring away US users who have been long-entrenched in their familiar social networks.  It will be interesting to see whether Cyworld&#8217;s great success in Asia can translate to success in the US.</p>	$0
ConnectMeAnywhere	connectmeanywhere	http://www.crunchbase.com/company/connectmeanywhere	http://www.connectmeanywhere.com		null	null	web	0	2006	9	1	0	0	0	null	null	null	null	null	null	null	<p>Husband and Wife team Ryan and Melinda Gallagher founded ConnectMeAnywhere.com, a VOIP service which launched in September of 2006.  CMA provides users with a list of locally accessed VOIP access numbers, enabling calls all over the world to be treated as local calls with VOIP connections.</p>	$0
Clipperz	clipperz	http://www.crunchbase.com/company/clipperz	http://www.clipperz.com	http://www.clipperz.com/blog		Clipperz	web	2	2005	11	1	0	0	0	null	null	null	marco@clipperz.com	+393482476970		null	<p>Clipperz solves the &#8220;password fatigue&#8221; problem and provides an online digital vault for confidential data.</p><p>Clipperz was established on 4 November2005 by Marco Barulli and Giulio Cesare Solaroli. The company&#8217;s legal headquarters is in the municipality of Bagnacavallo, northern Italy.</p>	$0
Cerado	cerado	http://www.crunchbase.com/company/cerado	http://www.cerado.com	http://www.socialcustomer.com	http://www.socialcustomer.com/index.rdf	null	web	0	2002	7	1	0	0	0	null	null	null	info@cerado.com	1-650-346-4406	null	null	<p>Cerado is the provider of the Haystack social networking platform.Cerado Ventana connects multiple social networks, web sites, and mobile web services. It is a web-based service that connects people, information and commerce via an interface that is optimized for the iPhone. </p><p><a href="http://techcrunch.com/wp-content/wlsn_comparison_chart.html" title="View a chartthat TechCrunch compiled">View a chartthat TechCrunch compiled</a>  in Summer 2007 that compares this company&#8217;s social networking product to others.</p>	$0
