#name	permalink	crunchbase_url	homepage_url	blog_url	blog_feed_url	twitter_username	category_code	number_of_employees	founded_year	founded_month	founded_day	deadpooled_year	deadpooled_month	deadpooled_day	deadpooled_url	tag_list	alias_list	email_address	phone_number	description	updated_at	overview	total_money_raised
Geni	geni	http://www.crunchbase.com/company/geni	http://www.geni.com	http://blog.geni.com	http://blog.geni.com/index.rdf	geni	web	18	2006	6	1	0	0	0	null	null	null			Geneology social network site	null	<p>Geni is an online community of casual and expert genealogists working together to break the barriers limiting family history research today.</p><p>They share knowledge and collaborate to create one World Family Tree from millions of individual family trees from around the globe. Visitors and members can add and invite relatives to build our their family tree, with no limit on the number of people, documents, photos or videos added, while personally connecting with history and more than 55 million other living members and their ancestors.</p>	$16.5M
Gizmoz	gizmoz	http://www.crunchbase.com/company/gizmoz	http://gizmoz.com			null	web	0	2003	1	1	0	0	0	null	null	null			Photo animation	null	<p>Founded in 2003, Gizmoz has developed proprietary patented 3D and animation technology to let users express themselves by creating realistic 3D characters made from a single face photo. Gizmoz is the leader in 3D face-mapping technology, face manipulation and automatic face detection with several patents and pending patents in this field. Gizmoz provides a central service to design, manage and transport digital avatars that can be deployed in virtual worlds, online games, PC and console 3D games, social networks, video clips, greeting cards, mobile apps, as well as professional modeling and animation tools. For more information, visit www.gizmoz.com.  </p>	$18.1M
Gannett	gannett	http://www.crunchbase.com/company/gannett	http://www.gannett.com				web	0	0	0	0	0	0	0	null	null	null	gcishare@gannett.com	(703) 854-6000	News Company	null	<p>Gannett is an international news and information company. In the United States, the company publishes 85 daily newspapers, including USA TODAY, and nearly 900 non-daily publications. Along with each of its daily newspapers, the company operates Internet sites offering news and advertising. USA TODAY.com is one of the most popular news sites on the Web. The company is the largest newspaper publisher in the U.S.</p>	$0
Google	google	http://www.crunchbase.com/company/google	http://google.com	http://googleblog.blogspot.com	http://googleblog.blogspot.com/feeds/posts/default?alt=rss	google	search	28000	1998	9	7	0	0	0	null	null	null	google@google.com	650.253.0000		null	<p>Google provides search and advertising services, which together aim to organize and monetize the world&#8217;s information. In addition to its dominant search engine, it offers a plethora of online tools and platforms including: <a href="http://www.crunchbase.com/product/gmail" title="Gmail">Gmail</a>, <a href="http://www.crunchbase.com/product/google-maps" title="Maps">Maps</a>, <a href="http://www.crunchbase.com/company/youtube" title="YouTube">YouTube</a>, and <a href="/product/google-plus" title="Google+" rel="nofollow">Google+</a>, the company&#8217;s extension into the social space. Most of its Web-based products are free, funded by Google&#8217;s highly integrated online advertising platforms <a href="/product/google-adwords-2" title="AdWords" rel="nofollow">AdWords</a> and <a href="/product/google-adsense" title="AdSense" rel="nofollow">AdSense</a>. Google promotes the idea that advertising should be highly targeted and relevant to users thus providing them with a rich source of information. </p><p>Google has also made strong moves into the web-based apps space with acquisitions of <a href="http://www.crunchbase.com/company/jotspot" title="Jotspot">Jotspot</a> (documents), <a href="http://www.crunchbase.com/company/2web-technologies" title="2Web Technologies">2Web Technologies</a> (spreadsheets) and <a href="http://www.crunchbase.com/company/zenter" title="Zenter">Zenter</a> (presentations). The company has also made a splash with the acquisitions of <a href="http://www.crunchbase.com/company/youtube" title="YouTube">YouTube</a>, <a href="http://www.crunchbase.com/company/doubleclick" title="DoubleClick">DoubleClick</a> and <a href="http://www.crunchbase.com/company/feedburner" title="Feedburner">Feedburner</a>. </p>	$555M
GrandCentral	grandcentral	http://www.crunchbase.com/company/grandcentral	http://grandcentral.com	http://blog.grandcentral.com/	http://blog.grandcentral.com/?feed=rss2		mobile	3	2006	4	1	0	0	0	null	null	null	info@grandcentral.com	510 555 1212		null	<p>The basic idea around GrandCentral is one phone number for all your phones, for life. As we change jobs, homes and cell phones, there are a lot of phone numbers to keep track of, and keeping everyone up to date with your most recent phone numbers is a real cost. If you use GrandCentral you can give out a single phone number. What happens when a person calls that number depends on his/her relationship to you, and what you are doing at the time.</p><p>GrandCentral rebranded to Google Voice after its acquisition by Google. </p>	$4M
GigaOM	gigaom	http://www.crunchbase.com/company/gigaom	http://gigaom.com		http://feeds.feedburner.com/ommalik	gigaom	news	75	2006	7	1	0	0	0	null	null	null				null	<p>Gigaom provides intelligent, credible analysis of emerging technologies. More than 5.5 million monthly unique readers turn to Gigaom to better understand major technology disruptions and the new business opportunities they are creating.</p>	$14.3M
Go2Web20	go2web20	http://www.crunchbase.com/company/go2web20	http://www.go2web20.net	http://scoutness.com/	http://feeds.feedburner.com/go2web20net	Go2web20	web	0	2006	9	1	0	0	0	null	null	null				null	<p>Started in mid 2006, Go2Web20.net is a directory of web 2.0 applications and services.  Israeli founders Orli Yakuel and Eyal Shahar started the site as a side project to show off their passion for Flash.  Their directory of new web startup logos and basic information is nicely designed and fun to navigate.  The site has proved to be popular (thousands of visitors every day), which has led the founders to add more logos and upgrade the site.</p><p>In early 2007 the site began to take on advertisers (TechCrunch is advertising on the site to support the project).</p>	$0
Gumiyo	gumiyo	http://www.crunchbase.com/company/gumiyo	http://www.gumiyo.com	http://blog.gumiyo.com	http://blog.gumiyo.com/feeds/posts/default?alt=rss	Gumiyo	web	0	2006	11	1	0	0	0	null	null	null	contact@gumiyo.com	8184714000		null	<p>Gumiyo enables publishers and businesses to connect with consumers on any device. The company&#8217;s cloud-hosted platform includes authoring tools that power more than 45,000 mobile sites, apps, and messaging programs for leading publishers, media companies, and software vendors worldwide. Integrating over 6,000 separate data sources including inventory systems, content management systems, CRM and ERP systems, Gumiyo&#8217;s platform enables its customers to build and distribute private label mobile solutions to over 150,000 small- and medium-sized businesses in a scalable and cost-effective way. </p><p>Gumiyo operates across a number of industries, including traditional and digital publishers, broadcast media, automotive, real estate, local business and brand marketing.</p><p>The company was founded in 2006 with corporate headquarters in Woodland Hills, CA.</p>	$0
GoingOn	goingon	http://www.crunchbase.com/company/goingon	http://www.goingon.com	http://goingon.com/blog		GoingOn_Network	software	40	2008	2	1	0	0	0	null	null	null	more@goingon.com	415-200-4606	Private Academic Networks	null	<p>GoingOn provides a fast and cost effective way to build vibrant online communities. Leveraging the best of todayâ€™s social web, GoingOn Community Platform enables academic institutions to deliver new, more engaging models of knowledge management and social collaboration across their campuses, and to their broad network of constituents. The results include increased student engagement, improved faculty productivity, enhanced online learning and broader marketing outreach.</p>	$8.5M
Going	going	http://www.crunchbase.com/company/going	http://www.going.com				web	0	0	0	0	0	0	0	null	null	null	feedback@going.com		Events Networking	null	<p>Going.com (previously HeyLetsGo.com) lets users connect with other event-goers before, during and after events.  The site has over 500,000 users which isn&#8217;t bad considering the site currently only operates in four cities (New York, Boston, San Francisco and Chicago).  The site is trying to become the local entertainment destination for 20 somethings in the cities mentioned above. So far they are doing pretty well &#8211; from January 2007 to July 2007, the site grew twelve-fold. Going has said that their future plans consist of expanding their platform and moving into new markets.</p><p>The two venture capitalists who have led investments in Going and sit on the board, <a href="http://www.generalcatalyst.com/team/george_bell" title="George Bell" rel="nofollow">George Bell</a> and <a href="http://www.hcp.com/content3759.html" title="Bob Davis" rel="nofollow">Bob Davis</a>, used to be rivals. They respectively lead Excite@Home and Lycos.</p><p>There are many other event sites out there including <a href="http://www.crunchbase.com/company/zvents" title="Zvents">Zvents</a> and <a href="http://www.crunchbase.com/company/eventful" title="Eventful">Eventful</a>, but most aren&#8217;t focusing on the 20 something crowd.  Another site that could be looked at as competition is nightlife social networking site <a href="http://www.techcrunch.com/2007/05/19/latenightshots-ill-drink-to-that/" title="LateNightShots">LateNightShots</a>, but it&#8217;s currently dedicated to Washington DC.</p>	$5M
