#name	permalink	crunchbase_url	homepage_url	blog_url	blog_feed_url	twitter_username	category_code	number_of_employees	founded_year	founded_month	founded_day	deadpooled_year	deadpooled_month	deadpooled_day	deadpooled_url	tag_list	alias_list	email_address	phone_number	description	updated_at	overview	total_money_raised
Info	info	http://www.crunchbase.com/company/info	http://info.com			null	web	0	0	0	0	0	0	0	null	null	null	contact@info.com	+1 (312) 268-5700	null	null	<p>Info.com is a search engine portal that returns results from &#8216;the world&#8217;s favorite search engines&#8217;, including <a href="http://www.crunchbase.com/company/google" title="Google">Google</a>, <a href="http://www.crunchbase.com/company/yahoo" title="Yahoo">Yahoo</a>, <a href="http://www.crunchbase.com/company/microsoft" title="Microsoft">Microsoft</a>, and <a href="http://www.crunchbase.com/company/ask" title="Ask">Ask</a>. </p>	$8.4M
Intel	intel	http://www.crunchbase.com/company/intel	http://www.intel.com			intel	hardware	86300	1968	0	0	0	0	0	null	null	null			Microprocessor Developer	null	<p>Intel is best known for producing the microprocessors found in many personal computers. The company also makes a range of other hardware including network cards, motherboards, and graphics chips. </p><p>Intel created the first commercial microprocessor chip in 1971, but it was not until the success of the personal computer that microprocessors became their primary business. In the 1980&#8217;s they were an early developer of SRAM and DRAM memory chip, and during the 1990s they invested heavily in new microprocessor designs and in fostering the rapid growth of the PC industry.</p>	$0
Ikan	ikan	http://www.crunchbase.com/company/ikan	http://www.ikan.net			null	web	5	2003	12	1	0	0	0	null	null	null	customerservice@ikan.net	887.365.4526	null	null	<p>Ikan is a countertop unit that allows you to keep track of groceries you&#8217;ll need on your next trip. You simply scan the products as you finish them and it&#8217;s automatically added to your online shopping cart. When you&#8217;re ready to order your groceries you&#8217;ll know exactly what you need. If you&#8217;re the forgetful type, then the e-mail reminders will keep you abreast of your diminishing food supply. The voice recorder also lets you tack on products when there isn&#8217;t a barcode available for scanning.</p>	$0
iSkoot	iskoot	http://www.crunchbase.com/company/iskoot	http://iskoot.com			null	mobile	0	2005	4	22	0	0	0	null	null	null			Mobile VOIP service	null	<p>iSkoot extends the reach of PC Calling by allowing users to make and receive PC Calls using only their regular cell phones.</p><p>With iSkoot, a mobile phone user gets the power of PC Calling as part of their normal communications capabilities. iSkoot eliminates the need for special hardware, headsets, microphones, broadband connections, USB phones and even PCs, and consumers don&#8217;t have to go looking for a WiFi hot spot.</p><p>iSkoot has an extended partnership with Skype. This follows iSkoot&#8217;s successful collaboration with Skype and mobile operator 3 for the global launch of the 3 Skypephone, the first ever mass-market Skypeâ„¢-enabled mobile handset. </p><p>iSkoot offers Skype-branded mobile software to mobile network operators in Argentina, Greece, Israel, Norway, South Africa, Switzerland and Turkey. These products deliver mobile Skype voice functionality based on circuit switch-to-VoIP technology. iSkoot delivers an end-to-end client/server/gateway solution that leverages the ubiquitous circuit switching infrastructure of the traditional voice network. </p>	$32.2M
iContact	icontact	http://www.crunchbase.com/company/icontact	http://icontact.com	http://icontact.com/blog		icontact	messaging	300	2003	7	2	0	0	0	null	null	null			email marketing software	null	<p>iContact is the largest private provider of email marketing and social media marketing software and services to small and mid-sized companies globally. It is based in Morrisville, NC. iContact makes it easy to create, send, and track email newsletters, surveys, autoresponders. iContact&#8217;s products include iContact, iContact Enterprise, iContact Agency, iContact for Salesforce, iContact Free Edition and Ettend.com. </p><p>As a B Corporation, iContact utilizes the 4-1s Corporate Social Responsibility Model, donating 1% of employee time to community volunteering, 1% of payroll, 1% of equity, and 1% of product to its local and global community as part of its social mission. iContact works hard to maintain a fun, creative, energetic, challenging, and community-oriented company culture. </p><p>iContact was founded in 2003 by Ryan Allis and Aaron Houghton in Chapel Hill, NC.</p>	$53.4M
Instructables	instructables	http://www.crunchbase.com/company/instructables	http://www.instructables.com	http://www.instructables.com/news		instructables	web	0	2005	8	0	0	0	0	null	null	null	info@instructables.com			null	<p>Instructables is a site developed by Squid Labs, a lab whose focus is on technical innovation and whose founders were once part of the MIT Media Lab.  Instructables provides a forum for personal creativity, as it allows users to post instructions to describe how they created something.  The concept of Instructables has been in the works for over five years, and has evolved from a platform initally called iFabricate that was developed in late 2004.</p>	$0
iLike	ilike	http://www.crunchbase.com/company/ilike	http://ilike.com	http://blog.ilike.com	http://blog.ilike.com/ilike_team_blog/index.rdf	iLike	games_video	28	2002	1	1	0	0	0	null	null	null			social music discovery site	null	<p>Born out of Garageband.com, iLike is a social music discovery site.  Valued at $53.2 million in December of 2006, iLike has been funded by the likes of former MTV CEO Bob Pittman and at the time of the valuation, by Ticketmaster (IAC) which took control of 25% of the company for $13.3 million.</p><p>According to iLike, it promotes music democracy by exposing artists that users have not heard of, but may like according to their listening habits.  Similar to <a href="http://crunchbase.com/company/Last.fm" title="Last.fm">Last.fm</a>, iLike catalogs what you listen to through iTunes (and now other players) with a downloadable application.  What users listen to on itunes shows up in their iLike profile in categories defined by quantity and how recent a song has been played.  In addition to displaying your own listening information, iLike tries to match you up with other iLike users who have similar tastes in music.</p><p>iLike has links to buy songs or albums from Amazon and iTunes, but also offers free downloads from many independent musicians.</p>	$16.5M
ictv	ictv	http://www.crunchbase.com/company/ictv	http://www.ictv.com		null	activevideo	web	80	1994	3	1	0	0	0	null	null	null	info@ictv.com	408 364 9200	null	null	<p>ictv connects web video media to machines</p>	$0
IceRocket	icerocket	http://www.crunchbase.com/company/icerocket	http://www.icerocket.com			icerocket	search	0	2004	0	0	0	0	0	null	null	null	rhodes@icerocket.com	214.658.7161		null	<p>IceRocket is a real-time search engine based out of Dallas, Texas. They have a special focus on displaying the most up to the second results. Search results include: blogs, Tweets, news and images all in real-time. IceRocket&#8217;s top blog search tools include Link Tracker, Topics and Trends. Competitors include <a href="http://www.techcrunch.com/tag/google/" title="Google">Google</a> and <a href="http://www.crunchbase.com/company/technorati" title="Technorati">Technorati</a>.</p>	$300k
Indeed	indeed	http://www.crunchbase.com/company/indeed	http://www.indeed.com	http://blog.indeed.com/	http://blog.indeed.com/feed/	indeed	web	0	2004	11	0	0	0	0	null	null	null			Job Search Portal	null	<p>Indeed is the #1 job site worldwide, available in more than 50 countries and 26 languages, and covering 94% of global GDP. With more than 100 million monthly unique visitors, Indeed has double the traffic of the next leading job site. According to a recent study, Indeed is the #1 source of external hire for employers (SilkRoad, 2013). </p><p>Since 2004, Indeed has given job seekers free access to millions of jobs from thousands of company websites and job boards. As the leading pay for performance recruitment advertising network, Indeed drives millions of targeted applicants to jobs in every field and is the most cost-effective source of candidates for thousands of companies.</p><p>Founded by Paul Forster and Rony Kahan, Indeed has over 800 employees with offices in Austin, Dublin, London, San Mateo, New York and Stamford.</p>	$5M
