#name	permalink	crunchbase_url	homepage_url	blog_url	blog_feed_url	twitter_username	category_code	number_of_employees	founded_year	founded_month	founded_day	deadpooled_year	deadpooled_month	deadpooled_day	deadpooled_url	tag_list	alias_list	email_address	phone_number	description	updated_at	overview	total_money_raised
Postini	postini	http://www.crunchbase.com/company/postini	http://postini.com			null	web	0	1999	6	2	0	0	0	null	null	null		888.584.3150	null	null	<p>Postini focuses on two main issues: security and compliance. Postini states that it handles more than 1 billion messages everyday and protects more than 35,000 businesses worldwide.</p><p>Postini offers solutions that protect your company from malicious internet attacks. The Postini Communications Suite eliminates unwanted content from email, instant messaging, and the web. Postini aims to increase business productivity. It will also automatically encrypt senstive messages between you and business partners.</p><p>Postini currently holds two patents in the area of security and compliance. It was acquired by <a href="/company/google" title="Google" rel="nofollow">Google</a> in 2007 and now operates as a subsidiary.</p>	$0
Plaxo	plaxo	http://www.crunchbase.com/company/plaxo	http://www.plaxo.com	http://blog.plaxo.com/	http://blog.plaxo.com/index.rdf	plaxo	web	50	2002	11	17	0	0	0		null	null	info@plaxo.com	650-254-5400	Contact Management	null	<p>Plaxo helps keep people connected by solving the common and frustrating problem of out-of-date contact information. Users and their contacts store their information on Plaxo&#8217;s servers. When a user edits their own information, the changes appear in the address books of all those who listed the user in their own address books. Because contacts are stored in a central location, it&#8217;s possible to list connections between contacts and access the address book from anywhere.</p><p>Napster co-founder, <a href="http://www.crunchbase.com/person/sean-parker" title="Sean Parker">Sean Parker</a>, was one of Plaxo&#8217;s founders</p>	$28.3M
Powerset	powerset	http://www.crunchbase.com/company/powerset	http://powerset.com	http://blog.powerset.com/	http://blog.powerset.com/atom.xml	Powerset	search	60	2006	10	0	0	0	0	null	null	null	info@powerset.com	415-848-7000		null	<p>Powerset is a search engine focused on natural language processing. In other words, Powerset will not search based simply on keywords alone, but will try to understand the semantic meaning behind the search phrase as a whole. The company <a href="http://www.techcrunch.com/2008/05/11/powerset-launches-showcase-for-user-search-experience/" title="launched">launched</a> in May 2008 with intentions of making search more easy and intuitive.</p><p>Powerset was acquired by <a href="/company/microsoft" title="Microsoft" rel="nofollow">Microsoft</a> on 1st July 2008.</p>	$22.5M
Prosper	prosper	http://www.crunchbase.com/company/prosper	http://www.prosper.com	http://blog.prosper.com/	http://blog.prosper.com/feed/	ProsperLoans	finance	0	2006	2	1	0	0	0	null	null	null			p2p lending marketplace	null	<p>Prosper is America&#8217;s first peer-to-peer lending marketplace, with more than 1.9 million members and over $632,000,000 in funded loans. </p><p>Prosper allows people to invest in each other in a way that is financially and socially rewarding. On Prosper, borrowers list loan requests between $2,000 and $35,000 and individual lenders invest as little as $25 in each loan listing they select. In addition to credit scores, ratings, and histories, investors can consider borrowers&#8217; personal loan descriptions, endorsements from friends, and community affiliations. Prosper handles the servicing of the loan on behalf of the matched borrowers and investors. </p><p>Prosper Marketplace, Inc. is run by CEO, Stephan Vermut, President, Aaron Vermut, and Head of Global Institutional Sales, Ron Suber. Steve and Aaron Vermut are the founders and former managing partners of Merlin Securities, a prime brokerage service based on cutting-edge technology. Prosper Marketplace, Inc.’s investors include Sequoia Capital and BlackRock.</p><p>Prosper Marketplace, Inc. is using the Prosper logo and brand with the permission of its wholly-owned subsidiary, Prosper Funding LLC.</p>	$120M
Pando Networks	pando-networks	http://www.crunchbase.com/company/pando-networks	http://pandonetworks.com	http://www.pandonetworks.com/blog	http://blog.pando.com/?feed=rss2	pandonetworks	games_video	23	2004	7	0	0	0	0		null	null	info@pando.com	212-343-8800	Accelerating large media delivery	null	<p>Pando Networks (www.pandonetworks.com) improves the delivery performance of online media assets. Pando accelerates content delivery, increases download completion and provides detailed performance data. Pando technology currently accelerates the delivery of more than 200 million media downloads around the world each year. Pando is funded by Intel Capital, BRM Capital and Wheatley Partners. </p>	$11M
Pownce	pownce	http://www.crunchbase.com/company/pownce	http://pownce.com			pownce	web	6	2007	6	1	0	0	0	null	null	null	info@pownce.com		Microblogging	null	<p>Pownce is a way to send stuff to your friends. Users can send music, photos, messages, links, events, and other file of up to 100mb to 250mb for pro users via the Pownce web site or through lightweight desktop software (available for Windows and Mac environments; Linux coming soon).  Only the people you choose get to see what you sent.</p>	$0
Pageflakes	pageflakes	http://www.crunchbase.com/company/pageflakes	http://www.pageflakes.com	http://www.pageflakes.com/Community/Help/Blog.aspx	http://blog.pageflakes.com/?feed=rss2	Pageflakes	web	20	2006	1	1	0	0	0	null	null	null	info@pageflakes.com		AJAX Homepage Service	null	<p>Pageflakes is a personalized Ajax home page service with key features being customized widgets, an RSS reader and group sharing capabilities. Pageflakes allows you to put all your web favorites, including news, email and search engines, onto one personalized page using &#8220;flakes&#8221;, or widgets.</p><p>Competitors include <a href="http://www.crunchbase.com/company/netvibes" title="Netvibes">Netvibes</a>, My AOL, and iGoogle.</p>	$4.1M
PlaceBlogger	placeblogger	http://www.crunchbase.com/company/placeblogger	http://www.placeblogger.com			null	web	0	0	0	0	2012	12	0		null	null	placeblogger@gmail.com		null	null	<p>PlaceBlogger is a project to accumulate all the geo-annotated news and articles from around the web.  </p>	$5M
PBworks	pbworks	http://www.crunchbase.com/company/pbworks	http://www.pbworks.com	http://blog.pbworks.com/	http://blog.pbworks.com/feed/	PBworks	enterprise	25	2005	6	1	0	0	0	null	null	null	sales@pbworks.com	415-963-4369	Hosted Collaboration Provider	null	<p>With over a million communities using PBworks to collaborate publicly and privately, PBworks is the largest business and educational hosted collaboration solution in the world. PBworks serves teams at over a third of the Fortune 500, is home to three presidential campaigns, the United Nations, The Financial Times and Harvard University. Like Salesforce, PBworks is a paid subscription service, with no advertising. </p><p>PBworks hosts collaborative wikis that can be used by anyone and for anything, featuring a setup that takes less time than making a peanut butter sandwich and easy, point-and-click editing. Users can insert video and photos, chat rooms, voice chat, community calendars and all other sorts of media which can then be rearranged or added to by other users given access privilege. Competitors include <a href="http://crunchbase.com/company/microsoft" title="Microsoft Sharepoint">Microsoft Sharepoint</a>, <a href="http://crunchbase.com/company/atlassian" title="Atlassian Confluence">Atlassian Confluence</a>, and <a href="http://crunchbase.com/company/socialtext" title="Socialtext">Socialtext</a>.</p>	$10.5M
Piczo	piczo	http://www.crunchbase.com/company/piczo	http://www.piczo.com	http://officialpiczoblog.piczo.com/	http://officialpiczoblog.piczo.com/	piczo	network_hosting	0	1990	11	1	0	0	0	null	null	null				null	<p>Few websites can say that they emerged from 100 emails sent to potential users and word of mouth.  Even fewer can say that from those 100 emails came 10 million unique visitors a day.  Such is the story of the creation of Piczo.com, a social networking site aimed at young teens.  Piczo presents itself as the safer alternative to other social networking sites like <a href="http://www.facebook.com" title="Facebook" rel="nofollow">Facebook</a>, <a href="http://www.myspace.com" title="Myspace" rel="nofollow">Myspace</a>, and <a href="http://www.friendster.com" title="Friendster" rel="nofollow">Friendster</a>.  This emphasis on safety is due to heavy involvement by <a href="http://www.wiredsafety.org" title="WiredSafety" rel="nofollow">WiredSafety</a> and the Child Exploiation and Online Protection Agency.  In 2007, Piczo announced <a href="http://pic3.piczo.com/public/corporate/piczoFunding.html" title="$11 Million in Series C funding" rel="nofollow">$11 Million in Series C funding</a>, primarily by U.S. Venture Partners and Mangrove Capital. In September 2009 Piczo changed is design to a more girlish design thinking that it would increase it&#8217;s users, but it only made things worse, both sex&#8217;s rebelled against this change and still to this day Piczo hasn&#8217;t regretted changing although many of it&#8217;s users are now switching to alternatives such as <a href="http://www.weebly.com" title="Weebly" rel="nofollow">Weebly</a> and <a href="http://www.webs.com" title="Webs" rel="nofollow">Webs</a>.</p><p>(Updated on 1st September 2010 by <a href="http://pic2.piczo.com/go/user/mongrels" title="Mongrels" rel="nofollow">Mongrels</a></p>	$11M
PhotoBox	photobox	http://www.crunchbase.com/company/photobox	http://photobox.com	http://blog.photobox.co.uk/	http://blog.photobox.co.uk/feed/	PhotoBox	ecommerce	600	2000	0	0	0	0	0	null	null	null		0844 854 3366	personalised product printing company	null	<p>PhotoBox is Europe’s leading personalised digital photo service with a presence in 17 countries and more than 24 million members in total.</p><p>PhotoBox offers a comprehensive online service including printing, storing and sharing of digital pictures and over 600 personalised products to choose from. Products range from professionally-bound Photo Books, to personalised wall décor, calendars, posters, Smartphone cases and accessories - each one capturing, preserving and sharing the most important moments in our lives.</p><p>PhotoBox merged with Moonpig, UK’s leading online greetings card retailer in July 2011, creating the PhotoBox Group, Europe’s leading provider of personalised products. In 2013, the Group introduced two new additions to its portfolio: StickyGram, an online print brand that leverages Instagram to turn digital pictures into high-quality products and PaperShaker, a new online brand targeting the invitations and announcements market.</p>	$5M
Parakey	parakey	http://www.crunchbase.com/company/parakey	http://www.parakey.com		null	null	web	2	0	0	0	0	0	0	null	null	null	null	null	null	null	<p>Parakey was founded in early 2006 by Blake Ross and Joe Hewitt of Mozilla/Firefox fame. <a href="http://www.spectrum.ieee.org/nov06/4696" title="Little has been revealed" rel="nofollow">Little has been revealed</a> about what Parakey will actually do, but it has been touted as both a platform and set of applications that will merge the desktop environment with the Web. It has also been described as a Web-based operating system. Great emphasis has been placed on Parakey&#8217;s potential to make tasks on the computer more intuitive for the average Joe.Parakey was acquired by <a href="http://www.crunchbase.com/company/Facebook" title="Facebook">Facebook</a> on July 19, 2007.Sequoia Capital seeded Parakey&#8217;s operations in early 2005.</p>	$0
PowerReviews	powerreviews	http://www.crunchbase.com/company/powerreviews	http://www.powerreviews.com	http://blogs.powerreviews.com	http://blogs.powerreviews.com/feed/	PowerReviews	social	120	0	0	0	0	0	0	null	null	null	sales@powerreviews.com	(866) 345-1461	Social Commerce Solutions	null	<p>PowerReviews is the leading provider of social commerce solutions, including customer reviews, to retailers and brands. The company&#8217;s innovative tag-based approach to collecting, organizing, structuring and analyzing user-generated content significantly boosts product sales and customer engagement.  </p><p>Recognized as the customer reviews Solution Leader in the Internet Retailer Top 500 survey, PowerReviews works with over 1,000 retailers and brands on over 3,500 websites, including Staples, Drugstore.com, Gardenerâ€™s Supply, Diapers.com, Callaway and Jockey.  </p><p>In addition to its Enterprise solution, PowerReviews offers an on-demand solution for small- and medium-sized businesses called PowerReviews Express (powerreviewsexpress.com  ). </p><p>PowerReviews also operates a product reviews and recommendation site for consumers, called Buzzillions.com (buzzillions.com).</p><p>PowerReviews was founded in 2005 by Andy Chen and Robert Chea. They previously founded Fogdog.com. PowerReviews competitors include <a href="http://www.techcrunch.com/tag/amazon" title="Amazon">Amazon</a>, <a href="http://www.crunchbase.com/company/bazaarvoice" title="Bazaarvoice">Bazaarvoice</a>, <a href="http://www.crunchbase.com/company/alatest" title="alaTest">alaTest</a>, RateVoice, and <a href="http://www.techcrunch.com/tag/wize/" title="Wize">Wize</a>.</p>	$40.1M
