#name	permalink	crunchbase_url	homepage_url	blog_url	blog_feed_url	twitter_username	category_code	number_of_employees	founded_year	founded_month	founded_day	deadpooled_year	deadpooled_month	deadpooled_day	deadpooled_url	tag_list	alias_list	email_address	phone_number	description	updated_at	overview	total_money_raised
StumbleUpon	stumbleupon	http://www.crunchbase.com/company/stumbleupon	http://www.stumbleupon.com	http://www.stumbleupon.com/blog		stumbleupon	web	0	2002	2	1	0	0	0	null	null	null			Content discovery service	null	<p>StumbleUpon is the easiest way to discover new and interesting things from across the Web. More than 25 million people turn to StumbleUpon to be informed, entertained and surprised by content and information recommended just for them. In addition, more than 80,000 brands, publishers and other marketers have used StumbleUpon’s Paid Discovery platform to tell their stories and promote their products and services. Explore more at www.stumbleupon.com.</p>	$18.5M
Scribd	scribd	http://www.crunchbase.com/company/scribd	http://scribd.com	http://blog.scribd.com/	http://blog.scribd.com/feed/	scribd	news	50	2007	0	0	0	0	0	null	null	null	feedback@scribd.com		Read Unlimited Books	null	<p>Scribd is the world’s biggest digital library, featuring a subscription service with premier ebooks including New York Times bestsellers and literary classics. A pioneer of the all-you-can-read model, Scribd&#8217;s subscriptions service allows readers to have unlimited access to more than 100,000 books from over 900 publishers, including Harper Collins, Rosetta, and Workman.</p><p>Launched in 2007 by Trip Adler and Jared Friedman in San Francisco, CA, Scribd is backed by Y Combinator, Charles River Ventures, and Redpoint Ventures. Scribd&#8217; has more than 80 million active readers visiting the site each month, and its document reader has been embedded more than 10 million times across the web on sites like The New York Times, USA Today, Guardian, and TechCrunch. </p>	$25.8M
Slacker	slacker	http://www.crunchbase.com/company/slacker	http://www.slacker.com			SlackerRadio	music	0	2006	0	0	0	0	0	null	null	null	support@slacker.com		Music Personalization Suite	null	<p>Slacker is the most complete music service on Earth.  The company delivers free and subscription-based access to millions of songs and hundreds of expert-programmed stations, plus news, sports and talk, on the web, mobile devices, in-car infotainment systems and consumer electronics platforms.  By blending cutting-edge analytics with a team of expert music curators and content programmers, Slacker delivers a seamless music discovery experience and uniquely personalized entertainment.  Slacker was founded in 2006 and is headquartered in San Diego with offices in Palo Alto, CA and New York City.  For more information about Slacker, or to listen for free, visit www.slacker.com</p>	$73.1M
SpinVox	spinvox	http://www.crunchbase.com/company/spinvox	http://www.spinvox.com	http://blog.spinvox.com/	http://blog.spinvox.com/feed/	null	messaging	0	0	0	0	0	0	0	null	null	null	service@spinvox.com	+44 207 965 2000	Voice to Text service	null	<p>Spinvox is a voice to text service. Spinvox started with their (now patented) Voice Message Conversion System in 2005, becoming one of the first companies to convert voicemails to text messages for both landlines and mobile telephones. Users subscribed to the service have incoming voicemail converted and sent as text messages to their mobile phone or emails in their inbox.</p><p>In order to compete with other similar service providers, Spinvox has recently introduced some other features such as SpinVox Blog; it allows users speak a post to a blog from any phone. There is also the Memo service: users speak memos to themselves &#8211; the messages subsequently get transcribed and sent as email reminders. Lastly, SpinVox users can speak a text message, update social networks, or send messages to groups of people at once using recepient lists.</p><p>SpinVox is the only voicemail-to-text conversion service available in six languages: English, French, Spanish, German, Portuguese and Italian.  </p><p>Competitors include: <a href="http://www.crunchbase.com/company/jott" title="Jott">Jott</a>, <a href="http://www.simulscribe.com" title="Simulscribe" rel="nofollow">Simulscribe</a> and <a href="http://www.crunchbase.com/company/pinger" title="Pinger">Pinger</a>.</p>	$106M
Sparter	sparter	http://www.crunchbase.com/company/sparter	http://sparter.com	http://sparter.com/c/category/commentary/	http://sparter.com/c/feed/		games_video	0	2007	6	1	2008	5	0	http://sparter.com/c/2008/05/15/change-in-service/	null	null	info@sparter.com			null	<p>A company put together by Bessemer Venture Partners, Sparter was a virtual goods exchange for buying and selling virtual currencies in games like World of Warcraft (WOW), EverQuest, Eve and others.  Users would sign up and either buy or sell virtual currencies at market prices.</p><p>Unlike other services, Sparter allowed users to both buy and sell cirtual currency. In late 2007 the average price for 100 gold in WOW was anywhere between $15 and $20.  Prices were proportional to delivery time (in world) and sellers average rating.</p><p>As of May 15th the company removed the ability to place all new orders.</p>	$0
SmugMug	smugmug	http://www.crunchbase.com/company/smugmug	http://www.smugmug.com	http://blogs.smugmug.com/		smugmug	photo_video	62	2002	11	3	0	0	0	null	null	null	help@smugmug.com		Awesome Photo & Video Sharing	null	<p>SmugMug is not your typical Web 2.0 photo sharing site. It&#8217;s not free, there are no ads, the company is self funded, and has been profitable for over three years. SmugMug is geared more towards professional photographers with features such as watermarking, selling downloads and prints, and creating galleries of photos. Users can even use their own domain names for these galleries. SmugMug still has the more typical Web 2.0 photo sharing features like RSS feeds, tags, and a public API. More recently, SmugMug has added functionality to automatically scale the size of photos to the viewing size of the browser. Smug also supports HD quality video uploading.</p><p>Competitors include: <a href="http://www.crunchbase.com/company/flickr" title="Flickr">Flickr</a>, <a href="http://www.crunchbase.com/company/Photobucket" title="Photobucket">Photobucket</a>, <a href="http://www.crunchbase.com/company/webshots" title="Webshots">Webshots</a>, <a href="http://www.crunchbase.com/company/fotki" title="Fotki">Fotki</a>, <a href="http://www.techcrunch.com/2006/04/06/the-photo-gunners/#comment-25698" title="BubbleShare">BubbleShare</a>, <a href="http://www.crunchbase.com/company/Zenfolio" title="Zenfolio">Zenfolio</a>, <a href="http://www.crunchbase.com/company/zooomr" title="Zoomr">Zoomr</a>, and <a href="http://www.crunchbase.com/company/facebook" title="Facebook">Facebook</a>.</p>	$0
Skype	skype	http://www.crunchbase.com/company/skype	http://www.skype.com	http://blogs.skype.com	http://feeds.feedburner.com/shareskypeen	skype	software	0	2003	8	0	0	0	0		null	null		94117733	VoIP Software 	null	<p>Skype is a software application that allows users to make voice and video calls and chats over the Internet. Calls to other users within the Skype service are free, while calls to both traditional landline telephones and mobile phones can be made for a fee using a debit-based user account system.  Skype was founded by <a href="/person/niklas-zennstrom" title="Niklas Zennstrom" rel="nofollow">Niklas Zennstrom</a> and <a href="/person/janus-friis" title="Janus Friis" rel="nofollow">Janus Friis</a> who were also the founders of the file sharing application <a href="/company/kazaa" title="Kazaa" rel="nofollow">Kazaa</a>.</p><p>Skype has also become popular for its additional features which include instant messaging, file transfer, and video conferencing. Skype has 663 million registered users as of 2010. </p><p>Unlike other VoIP services, Skype is a peer-to-peer system rather than a client-server system, and makes use of background processing on computers running Skype software; the original name proposed &#8220;Sky peer-to-peer&#8221; reflects this.</p><p>Some network administrators have banned Skype on corporate, government, home, and education networks, citing reasons such as inappropriate usage of resources, excessive bandwidth usage, and security concerns.</p><p>On 10 May 2011, Microsoft Corporation agreed to acquire Skype Communications, US$8.5 billion. The company is to be incorporated as a division of Microsoft, and Microsoft will acquire all of the company&#8217;s technologies, including Skype, with the purchase.</p>	$76.8M
Stickam	stickam	http://www.crunchbase.com/company/stickam	http://www.stickam.com	http://webmaster.stickam.com	http://blog.stickam.com/index.php/feed/	Stickam	games_video	35	2006	2	0	2013	1	0	http://blog.stickam.com/post/41909003713/stickamclosing	null	null	support@stickam.com			null	<p>Stickam.com is a social networking site that focuses on live video streaming. It features embedding and social profile features for your web pages, online auctions, company web sites and blogs.</p><p>Stickam is the live streaming provider for Leo Laporte&#8217;s TWiT (this WEEK in TECH) Live show. </p>	$0
Spock	spock	http://www.crunchbase.com/company/spock	http://www.spock.com	http://blog.spock.com	http://en.blog.wordpress.com/feed/		search	30	2006	4	1	0	0	0	null	null	null	info@corp.spock.com		Search Engine Utilizing Social Media	null	<p>Spock is a people search engine which collects data from all corners of the web with a heavy focus on areas with dense people information such as <a href="http://crunchbase.com/company/wikipedia" title="wikipedia">wikipedia</a>, photo sites, blogs and social networks.   Spock claims people search accounts for 30% of online search and thus they are directly taking on giants like Google and Amazon (product search).  If the 30% is accurate then the market is ripe for identity searching companies to expand.  </p><p>Spock&#8217;s closest competitors include <a href="http://www.crunchbase.com/company/copenda" title="Copenda">Copenda</a>,<a href="http://www.crunchbase.com/company/peekyou" title="PeekYou">PeekYou</a>, ProfileLinker, <a href="http://crunchbase.com/company/linkedin" title="LinkedIn">LinkedIn</a>, and <a href="http://crunchbase.com/company/Wink" title="Wink">Wink</a> which has been around since 2005, yet only launched its people search engine in November 2006.  Spock received $7 million in funding from Opus Capital and Clearstone Venture Partners.</p>	$7M
SodaHead	sodahead	http://www.crunchbase.com/company/sodahead	http://sodahead.com			SodaHead	web	25	2007	3	1	0	0	0	null	null	null	support@sodahead.com	1.818.981.8476	Online Community and Discussion	null	<p>SodaHead Inc., provides best in class polling technology for world class media companies including ESPN, ABC News, Good Morning America, LA Times and Warner Brothers Television. SodaHead&#8217;s media partner offerings include polling content management systems and analytics, broadcast to mobile polling integration and social polling initiatives, among others.</p><p>SodaHead.com is the premier opinion-based discussion community where visitors discover, debate, and discuss today&#8217;s hottest issues. Millions of SodaHeads share their unique views on hot topics, breaking news, and controversial issues and a diverse panel of staff writers provide original and exclusive content daily. Users create personal profiles and engage with fellow members around shared interests. SodaHead.com offers a wide variety of interactive features including slideshows, profile creation, groups, message boards, and original content.</p><p>Founded in 2006 by former MySpace executive, <a href="http://www.linkedin.com/in/jfeffer" title="Jason Feffer" rel="nofollow">Jason Feffer</a>, SodaHead received funding from <a href="http://www.mdv.com/" title="Mohr Davidow Ventures" rel="nofollow">Mohr Davidow Ventures</a>, <a href="http://www.missionventures.com/" title="Mission Ventures" rel="nofollow">Mission Ventures</a>, Tech Coast Angels, and Ron Conway.</p>	$12.7M
